0,0,0
10.007,2.3383e-09,8.9968e-09
20.086,1.2488e-08,1.263e-07
30.206,3.4702e-08,5.7715e-07
40.312,7.9327e-08,1.6808e-06
50.179,1.6673e-07,3.7882e-06
60.022,3.3961e-07,7.4109e-06
70.381,7.0623e-07,1.3626e-05
80.101,1.3908e-06,2.2788e-05
90.261,2.7177e-06,3.7436e-05
100.7,5.089e-06,5.9688e-05
110.7,8.794e-06,8.9485e-05
120.7,1.4533e-05,0.00012938
130.7,2.3012e-05,0.00018142
140.7,3.5051e-05,0.00024785
150.7,5.1597e-05,0.00033118
160.7,7.3731e-05,0.00043414
170.7,0.00010265,0.00055963
180.7,0.00013965,0.00071069
190.7,0.00018605,0.00089038
200.7,0.00024316,0.0011017
210.7,0.00031235,0.0013478
220.7,0.00039525,0.0016322
230.7,0.0004941,0.0019596
240.7,0.00061229,0.0023358
250.7,0.00075482,0.0027685
260.7,0.00092882,0.0032677
270.7,0.0011443,0.0038458
280.7,0.0014146,0.004519
290.7,0.0017581,0.0053076
300.7,0.0021993,0.0062384
310.7,0.0027713,0.007346
320.7,0.0035203,0.0086772
330.7,0.0045121,0.010296
340.7,0.0058452,0.012294
350.7,0.0076761,0.014807
360.7,0.010274,0.018054
370.7,0.014154,0.022418
380.7,0.020437,0.028678
390.7,0.032073,0.038775
400.7,0.059294,0.059582
410.7,0.15401,0.13525
420.7,0.54498,0.56125
430.7,1.5187,1.3142
440.7,3.1836,2.0713
450.7,5.4876,2.8574
460.7,8.1706,3.6234
470.7,10.861,4.4525
480.7,13.25,5.4192
490.7,15.205,6.3592
500.7,16.752,7.3129
510.7,17.972,8.3853
520.7,18.942,9.5731
530.7,19.705,10.635
540.7,20.298,11.609
550.7,20.749,12.526
560.7,21.081,13.402
570.7,21.32,14.246
580.7,21.487,15.059
590.7,21.597,15.83
600.7,21.663,16.544
610.7,21.694,17.182
620.7,21.696,17.734
630.7,21.675,18.199
640.7,21.634,18.583
650.7,21.578,18.897
660.7,21.507,19.149
670.7,21.425,19.35
680.7,21.332,19.508
690.7,21.23,19.631
700.7,21.122,19.724
710.7,21.008,19.796
720.7,20.89,19.849
730.7,20.768,19.888
740.7,20.644,19.916
750.7,20.519,19.937
760.7,20.393,19.951
770.7,20.267,19.961
780.7,20.141,19.968
790.7,20.016,19.973
800.7,19.893,19.976
810.7,19.772,19.979
820.7,19.653,19.98
830.7,19.537,19.982
840.7,19.424,19.982
850.7,19.314,19.983
860.7,19.207,19.983
870.7,19.102,19.984
880.7,19.001,19.984
890.7,18.903,19.985
900.7,18.807,19.985
910.7,18.713,19.985
920.7,18.622,19.985
930.7,18.533,19.986
940.7,18.445,19.986
950.7,18.359,19.986
960.7,18.275,19.986
970.7,18.191,19.987
980.7,18.109,19.987
990.7,18.027,19.987
1000.7,17.947,19.987
